,state,"state,city",state_link,city_link,keyword,links,error
0,al,"al,alabaster",https://library.municode.com/al,https://library.municode.com/al/alabaster/codes/code_of_ordinances,"""equality""",[],
1,al,"al,alabaster",https://library.municode.com/al,https://library.municode.com/al/alabaster/codes/code_of_ordinances,"""workforce development""",[],
2,al,"al,alabaster",https://library.municode.com/al,https://library.municode.com/al/alabaster/codes/code_of_ordinances,"""sustainability""",[],
3,al,"al,alabaster",https://library.municode.com/al,https://library.municode.com/al/alabaster/codes/code_of_ordinances,"""solar""",[],
4,al,"al,alabaster",https://library.municode.com/al,https://library.municode.com/al/alabaster/codes/code_of_ordinances,"""EV""",[],
5,al,"al,alabaster",https://library.municode.com/al,https://library.municode.com/al/alabaster/codes/code_of_ordinances,"""Electric Vehicles""",[],
6,al,"al,albertville",https://library.municode.com/al,https://library.municode.com/al/albertville/codes/code_of_ordinances,"""equality""",[],
7,al,"al,albertville",https://library.municode.com/al,https://library.municode.com/al/albertville/codes/code_of_ordinances,"""workforce development""",[],
8,al,"al,albertville",https://library.municode.com/al,https://library.municode.com/al/albertville/codes/code_of_ordinances,"""sustainability""",[],
9,al,"al,albertville",https://library.municode.com/al,https://library.municode.com/al/albertville/codes/code_of_ordinances,"""solar""",[],
10,al,"al,albertville",https://library.municode.com/al,https://library.municode.com/al/albertville/codes/code_of_ordinances,"""EV""",[],
11,al,"al,albertville",https://library.municode.com/al,https://library.municode.com/al/albertville/codes/code_of_ordinances,"""Electric Vehicles""",[],
12,al,"al,alexander_city",https://library.municode.com/al,https://library.municode.com/al/alexander_city/codes/code_of_ordinances,"""equality""",[],
13,al,"al,alexander_city",https://library.municode.com/al,https://library.municode.com/al/alexander_city/codes/code_of_ordinances,"""workforce development""",[],
14,al,"al,alexander_city",https://library.municode.com/al,https://library.municode.com/al/alexander_city/codes/code_of_ordinances,"""sustainability""",[],
15,al,"al,alexander_city",https://library.municode.com/al,https://library.municode.com/al/alexander_city/codes/code_of_ordinances,"""solar""",[],
16,al,"al,alexander_city",https://library.municode.com/al,https://library.municode.com/al/alexander_city/codes/code_of_ordinances,"""EV""",[],
